State,Discount %
Kentucky,0.0
California,9.33
Florida,7.34
North Carolina,4.52
Washington,2.08
Texas,23.36
Wisconsin,0.0
Utah,0.2
Nebraska,0.0
Pennsylvania,12.36
Illinois,12.29
Minnesota,0.0
Michigan,0.12
Delaware,0.04
Indiana,0.0
New York,4.0
Arizona,4.36
Virginia,0.0
Tennessee,3.41
Alabama,0.0
South Carolina,0.0
Oregon,2.29
Colorado,3.69
Iowa,0.0
Ohio,9.76
Missouri,0.0
Oklahoma,0.0
New Mexico,0.14
Louisiana,0.0
Connecticut,0.04
New Jersey,0.04
Massachusetts,0.13
Georgia,0.0
Nevada,0.15
Rhode Island,0.08
Mississippi,0.0
Arkansas,0.0
Montana,0.06
New Hampshire,0.02
Maryland,0.04
District of Columbia,0.0
Kansas,0.0
Vermont,0.0
Maine,0.0
South Dakota,0.0
Idaho,0.12
North Dakota,0.0
Wyoming,0.01
West Virginia,0.02
